"BehaviorSpace results (NetLogo 6.2.0)"
"main.0"
"Monitor: Number of Bubbles (For Calibrating With Literature)"
"05/12/2021 17:56:51:387 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","incoming-bubble-rate","increase-size-probability-if-collide","probability-of-collision","initial-bubble-number","[step]","count turtles"
"1","0","50","5","2000","278","199"
"1","0","50","5","2000","279","199"
"1","0","50","5","2000","280","199"
"1","0","50","5","2000","281","198"
"1","0","50","5","2000","282","198"
"1","0","50","5","2000","283","197"
"1","0","50","5","2000","284","197"
"1","0","50","5","2000","285","196"
"1","0","50","5","2000","286","196"
"1","0","50","5","2000","287","195"
"1","0","50","5","2000","288","195"
"1","0","50","5","2000","289","194"
"1","0","50","5","2000","290","193"
"1","0","50","5","2000","291","192"
"1","0","50","5","2000","292","192"
"1","0","50","5","2000","293","191"
"1","0","50","5","2000","294","191"
"1","0","50","5","2000","295","190"
"1","0","50","5","2000","296","189"
"1","0","50","5","2000","297","189"
"1","0","50","5","2000","298","189"
"1","0","50","5","2000","299","188"
"1","0","50","5","2000","300","188"
"1","0","50","5","2000","301","188"
"1","0","50","5","2000","302","187"
"1","0","50","5","2000","303","186"
"1","0","50","5","2000","304","185"
"1","0","50","5","2000","305","184"
"1","0","50","5","2000","306","184"
"1","0","50","5","2000","307","184"
"1","0","50","5","2000","308","184"
"1","0","50","5","2000","309","184"
"1","0","50","5","2000","310","184"
"1","0","50","5","2000","311","183"
"1","0","50","5","2000","312","183"
"1","0","50","5","2000","313","183"
"1","0","50","5","2000","314","183"
"1","0","50","5","2000","315","183"
"1","0","50","5","2000","316","183"
"1","0","50","5","2000","317","182"
"1","0","50","5","2000","318","182"
"1","0","50","5","2000","319","181"
"1","0","50","5","2000","320","180"
"1","0","50","5","2000","321","180"
"1","0","50","5","2000","322","180"
"1","0","50","5","2000","323","179"
"1","0","50","5","2000","324","179"
"1","0","50","5","2000","325","179"
"1","0","50","5","2000","326","178"
"1","0","50","5","2000","327","178"
"1","0","50","5","2000","328","178"
"1","0","50","5","2000","329","176"
"1","0","50","5","2000","330","176"
"1","0","50","5","2000","331","176"
"1","0","50","5","2000","332","175"
"1","0","50","5","2000","333","174"
"1","0","50","5","2000","334","172"
"1","0","50","5","2000","335","171"
"1","0","50","5","2000","336","171"
"1","0","50","5","2000","337","171"
"1","0","50","5","2000","338","171"
"1","0","50","5","2000","339","171"
"1","0","50","5","2000","340","171"
"1","0","50","5","2000","341","170"
"1","0","50","5","2000","342","170"
"1","0","50","5","2000","343","170"
"1","0","50","5","2000","344","170"
"1","0","50","5","2000","345","170"
"1","0","50","5","2000","346","169"
"1","0","50","5","2000","347","168"
"1","0","50","5","2000","348","168"
"1","0","50","5","2000","349","168"
"1","0","50","5","2000","350","168"
"1","0","50","5","2000","351","168"
"1","0","50","5","2000","352","168"
"1","0","50","5","2000","353","168"
"1","0","50","5","2000","354","166"
"1","0","50","5","2000","355","165"
"1","0","50","5","2000","356","165"
"1","0","50","5","2000","357","165"
"1","0","50","5","2000","358","164"
"1","0","50","5","2000","359","164"
"1","0","50","5","2000","360","163"
"1","0","50","5","2000","361","161"
"1","0","50","5","2000","362","159"
"1","0","50","5","2000","363","158"
"1","0","50","5","2000","364","158"
"1","0","50","5","2000","365","158"
"1","0","50","5","2000","366","157"
"1","0","50","5","2000","367","156"
"1","0","50","5","2000","368","156"
"1","0","50","5","2000","369","156"
"1","0","50","5","2000","370","156"
"1","0","50","5","2000","371","156"
"1","0","50","5","2000","372","155"
"1","0","50","5","2000","373","155"
"1","0","50","5","2000","374","155"
"1","0","50","5","2000","375","155"
"1","0","50","5","2000","376","155"
"1","0","50","5","2000","377","155"
"1","0","50","5","2000","378","154"
"1","0","50","5","2000","379","154"
"1","0","50","5","2000","380","154"
"1","0","50","5","2000","381","154"
"1","0","50","5","2000","382","153"
"1","0","50","5","2000","383","153"
"1","0","50","5","2000","384","152"
"1","0","50","5","2000","385","152"
"1","0","50","5","2000","386","151"
"1","0","50","5","2000","387","150"
"1","0","50","5","2000","388","149"
"1","0","50","5","2000","389","149"
"1","0","50","5","2000","390","149"
"1","0","50","5","2000","391","149"
"1","0","50","5","2000","392","149"
"1","0","50","5","2000","393","149"
"1","0","50","5","2000","394","149"
"1","0","50","5","2000","395","149"
"1","0","50","5","2000","396","147"
"1","0","50","5","2000","397","147"
"1","0","50","5","2000","398","147"
"1","0","50","5","2000","399","147"
"1","0","50","5","2000","400","146"
